"pais","nacionalidad","estado","ciudad"
"Albania","Albanian ","Vlorë","Bashkia Himarë"
"Albania","Albanian ","Tirana","Bashkia Kavajë"
"Albania","Albanian ","Gjirokastër","Bashkia Kelcyrë"
"Albania","Albanian ","Dibër","Bashkia Klos"
"Albania","Albanian ","Korçë","Bashkia Kolonjë"
"Albania","Albanian ","Vlorë","Bashkia Konispol"
"Albania","Albanian ","Durrës","Bashkia Krujë"
"Albania","Albanian ","Lezhë","Bashkia Kurbin"
"Albania","Albanian ","Berat","Bashkia Kuçovë"
"Albania","Albanian ","Lezhë","Bashkia Lezhë"
"Albania","Albanian ","Gjirokastër","Bashkia Libohovë"
"Albania","Albanian ","Korçë","Bashkia Maliq"
"Albania","Albanian ","Fier","Bashkia Mallakastër"
"Albania","Albanian ","Shkodër","Bashkia Malësi e Madhe"
"Albania","Albanian ","Gjirokastër","Libohovë"
"Albania","Albanian ","Dibër","Bashkia Mat"
"Albania","Albanian ","Lezhë","Lezhë"
"Albania","Albanian ","Korçë","Leskovik"
"Albania","Albanian ","Lezhë","Laç"
"Albania","Albanian ","Gjirokastër","Lazarat"
"Albania","Albanian ","Gjirokastër","Këlcyrë"
"Albania","Albanian ","Berat","Kuçovë"
"Albania","Albanian ","Lezhë","Kurbnesh"
"Albania","Albanian ","Kukës","Kukës"
"Albania","Albanian ","Vlorë","Ksamil"
"Albania","Albanian ","Kukës","Krumë"
"Albania","Albanian ","Durrës","Krujë"
"Albania","Albanian ","Tirana","Krrabë"
"Albania","Albanian ","Korçë","Korçë"
"Albania","Albanian ","Shkodër","Koplik"
"Albania","Albanian ","Vlorë","Konispol"
"Albania","Albanian ","Dibër","Klos"
"Albania","Albanian ","Tirana","Kavajë"
"Albania","Albanian ","Tirana","Kamëz"
"Albania","Albanian ","Vlorë","Himarë"
"Albania","Albanian ","Gjirokastër","Gjirokastër"
"Albania","Albanian ","Gjirokastër","Gjinkar"
"Albania","Albanian ","Durrës","Fushë-Krujë"
"Albania","Albanian ","Shkodër","Fushë-Arrëz"
"Albania","Albanian ","Fier","Fier-Çifçi"
"Albania","Albanian ","Fier","Fier"
"Albania","Albanian ","Korçë","Ersekë"
"Albania","Albanian ","Durrës","Durrës District"
"Albania","Albanian ","Durrës","Durrës"
"Albania","Albanian ","Fier","Divjakë"
"Albania","Albanian ","Kukës","Rrethi i Hasit"
"Albania","Albanian ","Tirana","Rrethi i Kavajës"
"Albania","Albanian ","Vlorë","Delvinë"
"Albania","Albanian ","Korçë","Rrethi i Kolonjës"
"Albania","Albanian ","Durrës","Rrethi i Krujës"
"Albania","Albanian ","Vlorë","Rrethi i Delvinës"
"Albania","Albanian ","Kukës","Rrethi i Kukësit"
"Albania","Albanian ","Lezhë","Rrethi i Kurbinit"
"Albania","Albanian ","Berat","Rrethi i Kuçovës"
"Albania","Albanian ","Korçë","Rrethi i Devollit"
"Albania","Albanian ","Fier","Rrethi i Mallakastrës"
"Albania","Albanian ","Shkodër","Rrethi i Malësia e Madhe"
"Albania","Albanian ","Dibër","Rrethi i Matit"
"Albania","Albanian ","Shkodër","Rrethi i Shkodrës"
"Albania","Albanian ","Berat","Rrethi i Skraparit"
"Albania","Albanian ","Tirana","Rrethi i Tiranës"
"Albania","Albanian ","Tirana","Rrogozhinë"
"Albania","Albanian ","Lezhë","Rrëshen"
"Albania","Albanian ","Lezhë","Rubik"
"Albania","Albanian ","Vlorë","Sarandë"
"Albania","Albanian ","Vlorë","Selenicë"
"Albania","Albanian ","Durrës","Shijak"
"Albania","Albanian ","Dibër","Rrethi i Dibrës"
"Albania","Albanian ","Shkodër","Shkodër"
"Albania","Albanian ","Lezhë","Shëngjin"
"Albania","Albanian ","Tirana","Sinaballaj"
"Albania","Albanian ","Durrës","Sukth"
"Albania","Albanian ","Gjirokastër","Tepelenë"
"Albania","Albanian ","Tirana","Tirana"
"Albania","Albanian ","Dibër","Ulëz"
"Albania","Albanian ","Berat","Ura Vajgurore"
"Albania","Albanian ","Shkodër","Vau i Dejës"
"Albania","Albanian ","Korçë","Velçan"
"Albania","Albanian ","Vlorë","Vlorë"
"Albania","Albanian ","Tirana","Vorë"
"Albania","Albanian ","Korçë","Voskopojë"
"Albania","Albanian ","Shkodër","Vukatanë"
"Albania","Albanian ","Berat","Çorovodë"
"Albania","Albanian ","Dibër","Rrethi i Bulqizës"
"Albania","Albanian ","Berat","Rrethi i Beratit"
"Albania","Albanian ","Fier","Roskovec"
"Albania","Albanian ","Gjirokastër","Përmet"
"Albania","Albanian ","Shkodër","Pukë"
"Albania","Albanian ","Berat","Poliçan"
"Albania","Albanian ","Korçë","Pogradec"
"Albania","Albanian ","Dibër","Peshkopi"
"Albania","Albanian ","Fier","Patos Fshat"
"Albania","Albanian ","Fier","Patos"
"Albania","Albanian ","Vlorë","Orikum"
"Albania","Albanian ","Lezhë","Milot"
"Albania","Albanian ","Gjirokastër","Memaliaj"
"Albania","Albanian ","Korçë","Mborje"
"Albania","Albanian ","Lezhë","Mamurras"
"Albania","Albanian ","Korçë","Maliq"
"Albania","Albanian ","Fier","Lushnjë"
"Albania","Albanian ","Korçë","Libonik"
"Albania","Albanian ","Dibër","Burrel"
"Albania","Albanian ","Dibër","Bulqizë"
"Albania","Albanian ","Korçë","Bilisht"
"Albania","Albanian ","Berat","Berat"
"Albania","Albanian ","Tirana","Bashkia Vorë"
"Algeria","Algerian","Batna","Barika"
"Algeria","Algerian","Béjaïa","Barbacha"
"Algeria","Algerian","Tipasa","Baraki"
"Algeria","Algerian","Algiers","Bab Ezzouar"
"Algeria","Algerian","Sétif","BABOR - VILLE"
"Algeria","Algerian","Oran","Aïn el Bya"
"Algeria","Algerian","Batna","Aïn Touta"
"Algeria","Algerian","Aïn Témouchent","Aïn Temouchent"
"Algeria","Algerian","Algiers","Aïn Taya"
"Algeria","Algerian","Constantine","Aïn Smara"
"Algeria","Algerian","Naama","Aïn Sefra"
"Algeria","Algerian","Djelfa","Aïn Oussera"
"Algeria","Algerian","Oum El Bouaghi","Aïn Kercha"
"Algeria","Algerian","Oum El Bouaghi","Aïn Fakroun"
"Algeria","Algerian","Aïn Defla","Aïn Defla"
"Algeria","Algerian","Oum El Bouaghi","Aïn Beïda"
"Algeria","Algerian","Bouïra","Aïn Bessem"
"Algeria","Algerian","Sétif","Aïn Arnat"
"Algeria","Algerian","Skikda","Azzaba"
"Algeria","Algerian","Tizi Ouzou","Azazga"
"Algeria","Algerian","Batna","Arris"
"Algeria","Algerian","Tizi Ouzou","Arhribs"
"Algeria","Algerian","Boumerdès","Arbatache"
"Algeria","Algerian","Adrar","Aoulef"
"Algeria","Algerian","Annaba","Annaba"
"Algeria","Algerian","Relizane","Ammi Moussa"
"Algeria","Algerian","Béjaïa","Amizour"
"Algeria","Algerian","Algiers","Algiers"
"Algeria","Algerian","Béjaïa","Akbou"
"Algeria","Algerian","Laghouat","Aflou"
"Algeria","Algerian","Adrar","Adrar"
"Algeria","Algerian","Chlef","Abou el Hassan"
"Algeria","Algerian","Bouïra","Bouïra"
"Algeria","Algerian","Bouïra","Draa el Mizan"
"Algeria","Algerian","Annaba","Drean"
"Algeria","Algerian","Chlef","Ech Chettia"
"Algeria","Algerian","Aïn Defla","El Abadia"
"Algeria","Algerian","El Bayadh","El Abiodh Sidi Cheikh"
"Algeria","Algerian","Bordj Bou Arréridj","El Achir"
"Algeria","Algerian","Tipasa","El Affroun"
"Algeria","Algerian","Aïn Témouchent","El Amria"
"Algeria","Algerian","Oum El Bouaghi","El Aouinet"
"Algeria","Algerian","Aïn Defla","El Attaf"
"Algeria","Algerian","El Bayadh","El Bayadh"
"Algeria","Algerian","Sétif","El Eulma"
"Algeria","Algerian","Annaba","El Hadjar"
"Algeria","Algerian","Ouargla","El Hadjira"
"Algeria","Algerian","Djelfa","El Idrissia"
"Algeria","Algerian","El Tarf","El Kala"
"Algeria","Algerian","Constantine","El Khroub"
"Algeria","Algerian","Béjaïa","El Kseur"
"Algeria","Algerian","Aïn Témouchent","El Malah"
"Algeria","Algerian","El Oued","El Oued"
"Algeria","Algerian","El Tarf","El Tarf"
"Algeria","Algerian","Oran","Es Senia"
"Algeria","Algerian","Béjaïa","Feraoun"
"Algeria","Algerian","Tizi Ouzou","Freha"
"Algeria","Algerian","Tiaret","Frenda"
"Algeria","Algerian","Ghardaïa","Ghardaïa"
"Algeria","Algerian","Guelma","Guelma"
"Algeria","Algerian","Tipasa","Hadjout"
"Algeria","Algerian","Constantine","Hamma Bouziane"
"Algeria","Algerian","Aïn Témouchent","Hammam Bou Hadjar"
"Algeria","Algerian","Tébessa","Hammamet"
"Algeria","Algerian","Ouargla","Hassi Messaoud"
"Algeria","Algerian","Tlemcen","Hennaya"
"Algeria","Algerian","Guelma","Héliopolis"
"Algeria","Algerian","Tamanghasset","I-n-Salah"
"Algeria","Algerian","Tizi Ouzou","Ighram"
"Algeria","Algerian","Illizi","Illizi"
"Algeria","Algerian","Jijel","Jijel"
"Algeria","Algerian","Skikda","Karkira"
"Algeria","Algerian","Aïn Defla","Khemis Miliana"
"Algeria","Algerian","Boumerdès","Khemis el Khechna"
"Algeria","Algerian","Khenchela","Khenchela"
"Algeria","Algerian","Tipasa","Kolea"
"Algeria","Algerian","Tiaret","Ksar Chellala"
"Algeria","Algerian","Médéa","Ksar el Boukhari"
"Algeria","Algerian","Laghouat","Laghouat"
"Algeria","Algerian","Bouïra","Lakhdaria"
"Algeria","Algerian","Blida","Larbaâ"
"Algeria","Algerian","Tissemsilt","Lardjem"
"Algeria","Algerian","Tizi Ouzou","L’Arbaa Naït Irathen"
"Algeria","Algerian","Boumerdès","Makouda"
"Algeria","Algerian","Bordj Bou Arréridj","Mansourah"
"Algeria","Algerian","Tlemcen","Mansoûra"
"Algeria","Algerian","Mascara","Mascara"
"Algeria","Algerian","Relizane","Mazouna"
"Algeria","Algerian","Blida","Meftah"
"Algeria","Algerian","Ouargla","Megarine"
"Algeria","Algerian","Tiaret","Mehdia daira de meghila"
"Algeria","Algerian","Tizi Ouzou","Mekla"
"Algeria","Algerian","Bordj Bou Arréridj","Melouza"
"Algeria","Algerian","Batna","Merouana"
"Algeria","Algerian","Oran","Mers el Kebir"
"Algeria","Algerian","Oum El Bouaghi","Meskiana"
"Algeria","Algerian","Djelfa","Messaad"
"Algeria","Algerian","Ghardaïa","Metlili Chaamba"
"Algeria","Algerian","Mila","Mila"
"Algeria","Algerian","Mostaganem","Mostaganem"
"Algeria","Algerian","Tipasa","Mouzaïa"
"Algeria","Algerian","Médéa","Médéa"
"Algeria","Algerian","M'Sila","M’Sila"
"Algeria","Algerian","Naama","Naama"
"Algeria","Algerian","Boumerdès","Naciria"
"Algeria","Algerian","Tlemcen","Nedroma"
"Algeria","Algerian","Oran","Oran"
"Algeria","Algerian","Ouargla","Ouargla"
"Algeria","Algerian","Chlef","Oued Fodda"
"Algeria","Algerian","Relizane","Oued Rhiou"
"Algeria","Algerian","Chlef","Oued Sly"
"Algeria","Algerian","Mascara","Oued el Abtal"
"Algeria","Algerian","Tipasa","Oued el Alleug"
"Algeria","Algerian","Tlemcen","Ouled Mimoun"
"Algeria","Algerian","Boumerdès","Ouled Moussa"
"Algeria","Algerian","Oum El Bouaghi","Oum el Bouaghi"
"Algeria","Algerian","Biskra","Oumache"
"Algeria","Algerian","Adrar","Reggane"
"Algeria","Algerian","Boumerdès","Reghaïa"
"Algeria","Algerian","El Oued","Reguiba"
"Algeria","Algerian","Relizane","Relizane"
"Algeria","Algerian","Tlemcen","Remchi"
"Algeria","Algerian","El Oued","Robbah"
"Algeria","Algerian","Mila","Rouached"
"Algeria","Algerian","Algiers","Rouiba"
"Algeria","Algerian","Ouargla","Rouissat"
"Algeria","Algerian","Batna","Râs el Aïoun"
"Algeria","Algerian","Bordj Bou Arréridj","Râs el Oued"
"Algeria","Algerian","Sétif","Salah Bey"
"Algeria","Algerian","Tipasa","Saoula"
"Algeria","Algerian","Saïda","Saïda"
"Algeria","Algerian","Tlemcen","Sebdou"
"Algeria","Algerian","Béjaïa","Seddouk"
"Algeria","Algerian","Souk Ahras","Sedrata"
"Algeria","Algerian","Tlemcen","Sidi Abdelli"
"Algeria","Algerian","Chlef","Sidi Akkacha"
"Algeria","Algerian","Ouargla","Sidi Amrane"
"Algeria","Algerian","M'Sila","Sidi Aïssa"
"Algeria","Algerian","Biskra","Sidi Khaled"
"Algeria","Algerian","Blida","Sidi Moussa"
"Algeria","Algerian","Mila","Sidi Mérouane"
"Algeria","Algerian","Biskra","Sidi Okba"
"Algeria","Algerian","Tlemcen","Sidi Senoussi سيدي سنوسي"
"Algeria","Algerian","Oran","Sidi ech Chahmi"
"Algeria","Algerian","Mascara","Sig"
"Algeria","Algerian","Skikda","Skikda"
"Algeria","Algerian","Relizane","Smala"
"Algeria","Algerian","Tiaret","Sougueur"
"Algeria","Algerian","Souk Ahras","Souk Ahras"
"Algeria","Algerian","Blida","Souma"
"Algeria","Algerian","Bouïra","Sour el Ghozlane"
"Algeria","Algerian","Sétif","Sétif"
"Algeria","Algerian","Boumerdès","Tadmaït"
"Algeria","Algerian","Skikda","Tamalous"
"Algeria","Algerian","Tamanghasset","Tamanrasset"
"Algeria","Algerian","Batna","Tazoult-Lambese"
"Algeria","Algerian","Ouargla","Tebesbest"
"Algeria","Algerian","Mila","Telerghma"
"Algeria","Algerian","Boumerdès","Thenia"
"Algeria","Algerian","Aïn Defla","Theniet el Had"
"Algeria","Algerian","Tiaret","Tiaret"
"Algeria","Algerian","Adrar","Timimoun"
"Algeria","Algerian","Tizi Ouzou","Timizart"
"Algeria","Algerian","Tindouf","Tindouf"
"Algeria","Algerian","Tipasa","Tipasa"
"Algeria","Algerian","Tizi Ouzou","Tirmitine"
"Algeria","Algerian","Tissemsilt","Tissemsilt"
"Algeria","Algerian","Boumerdès","Tizi Gheniff"
"Algeria","Algerian","Tizi Ouzou","Tizi Ouzou"
"Algeria","Algerian","Tizi Ouzou","Tizi Rached"
"Algeria","Algerian","Tizi Ouzou","Tizi-n-Tleta"
"Algeria","Algerian","Tlemcen","Tlemcen"
"Algeria","Algerian","Biskra","Tolga"
"Algeria","Algerian","Ouargla","Touggourt"
"Algeria","Algerian","Tébessa","Tébessa"
"Algeria","Algerian","Relizane","Zemoura"
"Algeria","Algerian","Tipasa","Zeralda"
"Algeria","Algerian","Biskra","Zeribet el Oued"
"Algeria","Algerian","Béjaïa","el hed"
"Algeria","Algerian","M'Sila","‘Aïn el Hadjel"
"Algeria","Algerian","Constantine","’Aïn Abid"
"Algeria","Algerian","Tipasa","’Aïn Benian"
"Algeria","Algerian","Médéa","’Aïn Boucif"
"Algeria","Algerian","Tiaret","’Aïn Deheb"
"Algeria","Algerian","Relizane","’Aïn Merane"
"Algeria","Algerian","Djelfa","’Aïn el Bell"
"Algeria","Algerian","Saïda","’Aïn el Hadjar"
"Algeria","Algerian","Tizi Ouzou","’Aïn el Hammam"
"Algeria","Algerian","M'Sila","’Aïn el Melh"
"Algeria","Algerian","Oran","’Aïn el Turk"
"Algeria","Algerian","Tipasa","Douera"
"Algeria","Algerian","Relizane","Djidiouia"
"Algeria","Algerian","Djelfa","Djelfa"
"Algeria","Algerian","Tiaret","Djebilet Rosfa"
"Algeria","Algerian","Ouargla","Djamaa"
"Algeria","Algerian","Constantine","Didouche Mourad"
"Algeria","Algerian","Boumerdès","Dellys"
"Algeria","Algerian","El Oued","Debila"
"Algeria","Algerian","Algiers","Dar el Beïda"
"Algeria","Algerian","Djelfa","Dar Chioukh"
"Algeria","Algerian","Constantine","Constantine"
"Algeria","Algerian","Bouïra","Chorfa"
"Algeria","Algerian","Chlef","Chlef"
"Algeria","Algerian","Blida","Chiffa"
"Algeria","Algerian","Tlemcen","Chetouane"
"Algeria","Algerian","Tébessa","Cheria"
"Algeria","Algerian","Tipasa","Cheraga"
"Algeria","Algerian","Tizi Ouzou","Chemini"
"Algeria","Algerian","Mila","Chelghoum el Aïd"
"Algeria","Algerian","Blida","Chebli"
"Algeria","Algerian","Djelfa","Charef"
"Algeria","Algerian","Boumerdès","Chabet el Ameur"
"Algeria","Algerian","Béchar","Béchar"
"Algeria","Algerian","El Bayadh","Brezina"
"Algeria","Algerian","Blida","Boû Arfa"
"Algeria","Algerian","Boumerdès","Boumerdas"
"Algeria","Algerian","Guelma","Boumahra Ahmed"
"Algeria","Algerian","Batna","Boumagueur"
"Algeria","Algerian","Chlef","Boukadir"
"Algeria","Algerian","Blida","Bouinan"
"Algeria","Algerian","Blida","Bougara"
"Algeria","Algerian","Sétif","Bougaa"
"Algeria","Algerian","Blida","Boufarik"
"Algeria","Algerian","Boumerdès","Boudouaou"
"Algeria","Algerian","Tizi Ouzou","Boudjima"
"Algeria","Algerian","Oran","Bou Tlelis"
"Algeria","Algerian","Tipasa","Bou Ismaïl"
"Algeria","Algerian","Mascara","Bou Hanifia el Hamamat"
"Algeria","Algerian","Algiers","Bordj el Kiffan"
"Algeria","Algerian","Bordj Bou Arréridj","Bordj Zemoura"
"Algeria","Algerian","Bordj Bou Arréridj","Bordj Ghdir"
"Algeria","Algerian","Bordj Bou Arréridj","Bordj Bou Arreridj"
"Algeria","Algerian","Tizi Ouzou","Draa Ben Khedda"
"Algeria","Algerian","Tizi Ouzou","Boghni"
"Algeria","Algerian","Blida","Blida"
"Algeria","Algerian","Biskra","Biskra"
"Algeria","Algerian","Algiers","Birkhadem"
"Algeria","Algerian","Djelfa","Birine"
"Algeria","Algerian","Oran","Bir el Djir"
"Algeria","Algerian","Tébessa","Bir el Ater"
"Algeria","Algerian","El Tarf","Besbes"
"Algeria","Algerian","Médéa","Berrouaghia"
"Algeria","Algerian","Ghardaïa","Berriane"
"Algeria","Algerian","Annaba","Berrahal"
"Algeria","Algerian","Tlemcen","Bensekrane"
"Algeria","Algerian","Aïn Témouchent","Beni Saf"
"Algeria","Algerian","Tlemcen","Beni Mester"
"Algeria","Algerian","Blida","Beni Mered"
"Algeria","Algerian","Tizi Ouzou","Beni Douala"
"Algeria","Algerian","Boumerdès","Beni Amrane"
"Algeria","Algerian","El Tarf","Ben Mehidi"
"Algeria","Algerian","Béjaïa","Bejaïa"
"Algeria","Algerian","Batna","Batna"
"Algeria","Algerian","Sidi Bel Abbès","Moggar"
"Algeria","Algerian","Sidi Bel Abbès","Sfissef"
"Algeria","Algerian","Sidi Bel Abbès","Rouissat"
"Algeria","Algerian","Sidi Bel Abbès","Ouargla"
"Algeria","Algerian","Sidi Bel Abbès","N'Goussa"
"Algeria","Algerian","Sidi Bel Abbès","Moulay Slissen"
"Algeria","Algerian","Sidi Bel Abbès","Mezaourou"
"Algeria","Algerian","Sidi Bel Abbès","Tebesbest"
"Algeria","Algerian","Sidi Bel Abbès","Aïn El Berd District"
"Algeria","Algerian","Sidi Bel Abbès","Balidat Ameur"
"Algeria","Algerian","Sidi Bel Abbès","Belarbi"
"Algeria","Algerian","Sidi Bel Abbès","Ben Badis Sid Bel Abbés"
"Algeria","Algerian","Sidi Bel Abbès","Djamaa"
"Algeria","Algerian","Sidi Bel Abbès","El Bour"
"Algeria","Algerian","Sidi Bel Abbès","El Hadjira"
"Algeria","Algerian","Sidi Bel Abbès","Haoud El Hamra"
"Algeria","Algerian","Sidi Bel Abbès","Hassi Messaoud"
"Algeria","Algerian","Sidi Bel Abbès","Lamtar"
"Algeria","Algerian","Sidi Bel Abbès","Marhoum"
"Algeria","Algerian","Sidi Bel Abbès","Megarine"
"Algeria","Algerian","Sidi Bel Abbès","Merine"
"Algeria","Algerian","Sidi Bel Abbès","Zerouala"
"Algeria","Algerian","Sidi Bel Abbès","Touggourt"
"Algeria","Algerian","Sidi Bel Abbès","Tessala"
"Algeria","Algerian","Sidi Bel Abbès","Tenira"
"Algeria","Algerian","Sidi Bel Abbès","Tenezara"
"Algeria","Algerian","Sidi Bel Abbès","Telagh"
"Algeria","Algerian","Sidi Bel Abbès","Teghalimet"
"Algeria","Algerian","Sidi Bel Abbès","Tamerna Djedida"
"Algeria","Algerian","Sidi Bel Abbès","Tamellaht"
"Algeria","Algerian","Sidi Bel Abbès","Taibet"
"Algeria","Algerian","Sidi Bel Abbès","Tabia Sid Bel Abbés"
"Algeria","Algerian","Sidi Bel Abbès","Sidi Yahia"
"Algeria","Algerian","Sidi Bel Abbès","Sidi Yacoub"
"Algeria","Algerian","Sidi Bel Abbès","Sidi Slimane"
"Algeria","Algerian","Sidi Bel Abbès","Sidi Hamadouche"
"Algeria","Algerian","Sidi Bel Abbès","Sidi Brahim"
"Algeria","Algerian","Sidi Bel Abbès","Sidi Bel Abbès"
"Algeria","Algerian","Sidi Bel Abbès","Sidi Amrane"
"Algeria","Algerian","Sidi Bel Abbès","Sidi Ali Boussidi"
"American Samoa","American Samoan","Western","Tualatai"
"American Samoa","American Samoan","Western","Leasina"
"American Samoa","American Samoan","Western","Lealataua"
"American Samoa","American Samoan","Manuʻa","Fitiuta"
"American Samoa","American Samoan","Manuʻa","Faleasao"
"American Samoa","American Samoan","Manuʻa","Tau"
"American Samoa","American Samoan","Manuʻa","Olosega"
"American Samoa","American Samoan","Manuʻa","Ofu"
"American Samoa","American Samoan","Eastern","Saʻole"
"American Samoa","American Samoan","Eastern","Sua"
"American Samoa","American Samoan","Eastern","Vaifanua"
"American Samoa","American Samoan","Eastern","Maʻoputasi"
"American Samoa","American Samoan","Eastern","Ituʻau"
"American Samoa","American Samoan","Western","Tualauta"
